,s,p,o,g
0,t1692150,https://schema.org/url,http://geology.okstate.edu/,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
1,t1692150,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Organization,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
2,t1692151,https://schema.org/name,"University of California, Davis, KeckCAVES",urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
3,t1692151,https://schema.org/url,http://keckcaves.org/,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
4,t1692151,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Organization,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
5,t1692152,https://schema.org/name,"University of California, Los Angeles",urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
6,t1692152,https://schema.org/url,http://epss.ucla.edu/graduate/geology/,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
7,t1692152,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Organization,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
8,t1692153,https://schema.org/name,"University of California, Santa Cruz",urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
9,t1692153,https://schema.org/url,http://eps.ucsc.edu/,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
10,t1692153,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Organization,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
11,t1692154,https://schema.org/name,Western Washington Univesity,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
12,t1692154,https://schema.org/url,https://cse.wwu.edu/geology,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
13,t1692154,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Organization,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
14,https://doi.org/10.5069/G95T3HFX,https://schema.org/additionalType,datacite:Identifier,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
15,https://doi.org/10.5069/G95T3HFX,https://schema.org/additionalType,geolink:Identifier,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
16,https://doi.org/10.5069/G95T3HFX,https://schema.org/propertyID,datacite:doi,urn:gleaner:summoned:opentopography:0024e35144d902d8b413ffd400ede6a27efe2146
