#,dataset_id,min(minimumDepthInMeters),max(maximumDepthInMeters)
1,"""3eb5bcd4-5258-48a4-93dd-ae14de6f7e56""",10.9,90.0
2,"""eb82a737-66d1-495e-a5da-2745b5fc0152""",0.01,95.0
3,"""a43fef9a-a8c3-4ecd-ae5d-861894305776""",0.0,0.0
4,"""8a804e2d-e92f-4e1e-880c-98ffcf16dc01""",19.4,40.400002
5,"""e3b7d014-2ea6-44a4-ab17-19da017db40f""",11.0,464.399994
6,"""c49997fd-7f9d-404d-af03-96c36b8dea9a""",1.0,8.0
7,"""c9bf012b-0e7b-44fc-b2af-d036da49489f""",0.0,15.0
8,"""b908eedb-3845-4819-a754-f06997cd935e""",0.0,105.0
9,"""b74b429a-4052-4f5b-bff3-fe0b5a2e8669""",-21.0,9430.0
10,"""615897dc-a685-4335-a581-7e30adeae07f""",1.0,3.0
11,"""7166db26-05a1-4ca7-832b-19af8260f32e""",0.0,201.0
12,"""4462e452-1184-44eb-982c-ca2551931ee8""",0.0,50.0
13,"""f68aab55-9261-49fa-8bf9-e6fe6fa7661b""",0.0,5053.0
14,"""9a2ca2e2-e8fb-4de6-9c7c-a532578494ca""",16.0,80.0
15,"""7a067da3-9c42-4805-a32f-f72a3b880eab""",0.0,70.0
16,"""531637ff-203d-447a-8595-519080144a1d""",0.0,440.0
17,"""88bb5351-cbed-4448-abf8-fdeae8b1abaf""",2.0,3521.0
18,"""7df14e0f-ba9f-468e-a239-0d2032c0676d""",0.0,500.0
19,"""471a8de8-80f8-43f9-9443-88a45712feba""",100.0,8116.0
20,"""80479e14-2730-436d-acaa-b63bdc7dd06f""",-999.900024,10293.0
21,"""1febfcdd-3e1b-46db-b73d-1bbe81ce22a6""",0.0,1421.0
22,"""d52444db-3aee-4ac3-8181-b8952fe53821""",0.0,2077.0
23,"""6126d698-3e12-4f10-8b05-65122298d02e""",2.0,12.0
24,"""3edf0c68-6b57-4843-a60e-51d3c1892db4""",206.0,2760.0
25,"""beab1dcb-8235-4072-85cd-d8c3373e4ae0""",0.7,4.0
26,"""5f2da252-6d49-4c9f-b3b3-1db53d75b345""",5.0,250.0
27,"""58a0fdd1-89d4-471a-9d35-c27ffa7fcf86""",-1.0,120.099998
28,"""34370444-238d-4908-9ffb-73d98e2057b0""",47.0,1.0
29,"""ccd6e783-32be-4026-8ed8-0b9ca265aeb1""",0.5,6060.0
30,"""aa60750c-4921-43e1-8146-7b16aad675ac""",0.0,92.0
31,"""aaf1a74e-d12a-42da-8203-bdd1fe3bd42b""",0.0,500.0
32,"""e6757350-32dd-48f1-a3fe-cd14260dbba9""",155.0,1180.0
33,"""4948203e-5c4f-4454-9e49-074f408afb9b""",3.0,1559.0
