"sha","url","identifiertype","lastmodified"
"0007851ccfce1f5b69496f5a25bb82e00ddab61b.jsonld","https://obis.org/dataset/cce3bcdb-31fa-4e26-a24f-0b85c59d03e7","identifiersha","2025-04-07 08:27:36+00:00"
"0030c99b29c7c935b87251e074fbdc42db69baf1.jsonld","https://obis.org/dataset/e990dc5f-d7ae-4eff-b6da-f096bedbe50a","identifiersha","2025-04-07 08:28:19+00:00"
"00358423f07ade9e47394949260c255d049db978.jsonld","https://obis.org/dataset/de2563c9-b74a-406d-9fa5-5a5fd251750e","identifiersha","2025-04-07 08:28:06+00:00"
"004245674bc0f5bba960c26baa49ba455501a7c1.jsonld","https://obis.org/dataset/e92b6433-c003-47b2-8f46-6a1e87db48c9","identifiersha","2025-04-07 08:24:20+00:00"
"00889265149494c2e464bc6042909708e4221b52.jsonld","https://obis.org/dataset/9ddcb9c5-0312-4e94-952d-87f824399226","identifiersha","2025-04-07 08:28:12+00:00"
"00a19e2499f90cc9dd34adaf24b40638062d990d.jsonld","https://obis.org/dataset/e0d98cef-7b09-496e-9a5f-2a6ecaa9b8a9","identifiersha","2025-04-07 08:28:28+00:00"
"00a5be70af435331c34497b237c7191715aaa3d7.jsonld","https://obis.org/dataset/91fa6e0a-cfb0-43d9-8dcc-588ff31e3e4d","identifiersha","2025-04-07 08:25:00+00:00"
"00a9cc04656d8eedd06ed809adb104570314edbe.jsonld","https://obis.org/dataset/861f26df-b719-4f04-ab23-eb64f6d66d62","identifiersha","2025-04-07 08:25:27+00:00"
"00ac3eba6c3b779a9d2ee0f97ae598bb2de77830.jsonld","https://obis.org/dataset/8426d16e-cb66-4b6e-8d3c-d8e8b977fc79","identifiersha","2025-04-07 08:22:27+00:00"
"00ad8dcb900fc3b95374cdc7b63e39fa82ed4513.jsonld","https://obis.org/dataset/04017518-c9c6-4801-a1c9-8019618c9b0d","identifiersha","2025-04-07 08:22:50+00:00"
"00b95fcca03d4984dbb7f7760124dfb0c648c3fa.jsonld","https://obis.org/dataset/39370bba-d695-49c6-9062-d06cf6540efe","identifiersha","2025-04-07 08:28:34+00:00"
"00be3ce66fe972ab87a5a251162ee5bb070eb706.jsonld","https://obis.org/dataset/3e0eb6f8-2704-4369-be11-d3d58e9f1bd2","identifiersha","2025-04-07 08:23:12+00:00"
"00dd657f5bc622d3e35a62601670126f1564b95a.jsonld","https://obis.org/dataset/5a17b973-3e2b-4286-b7af-ae04f7b306a5","identifiersha","2025-04-07 08:25:13+00:00"
"00e303efccc41951e7635dec309fc3cbc1197db3.jsonld","https://obis.org/dataset/e869e06b-df12-491c-b49f-c77c4daa857c","identifiersha","2025-04-07 08:26:11+00:00"
"01261c95689dcebd4b6e8b41bf2d140aed2c165e.jsonld","https://obis.org/dataset/647943b7-b951-4c5c-8280-fd917cc29bf1","identifiersha","2025-04-07 08:26:06+00:00"
"012b7675f40e51472df8cce1942584216c5332e9.jsonld","https://obis.org/dataset/5c9d8a11-f632-49ba-a467-449ef93b23dc","identifiersha","2025-04-07 08:27:34+00:00"
"012e00ce68915ca011a686e9f4b9d52d2930bb33.jsonld","https://obis.org/dataset/23bd22c1-9a98-44d4-8e23-3a9c55915caf","identifiersha","2025-04-07 08:26:56+00:00"
"013b8643b7237a7d15f49e805edee081c1ecd9e5.jsonld","https://obis.org/dataset/541c7d7b-ea2b-4bbb-a989-75904babfea9","identifiersha","2025-04-07 08:26:41+00:00"
"0140e166c532ab7f94c8858216943e75df6f47f6.jsonld","https://obis.org/dataset/db5ad6c9-3f39-44d7-a4d0-6e059b064d58","identifiersha","2025-04-07 08:23:16+00:00"
"0141e208ee1cfb0991e80c75db4e0840a4fdbbd0.jsonld","https://obis.org/dataset/114176b9-951c-4760-b802-bd22f1981185","identifiersha","2025-04-07 08:23:42+00:00"
"014d25bfa7e5a1db897b19f3e7be11d92406ffc1.jsonld","https://obis.org/dataset/19b17aa1-83e9-4121-bd1b-e21966acdd0d","identifiersha","2025-04-07 08:25:36+00:00"
"015d1c642e11e18a16bf188edf97c8fbdd2e3180.jsonld","https://obis.org/dataset/0823253d-15e7-45f8-a3af-3f927b3c1099","identifiersha","2025-03-24 00:44:18+00:00"
"015d468ad44e4a55fe6f6c6b04e0246f92967048.jsonld","https://obis.org/dataset/77b84a54-cc6c-4bbf-b95e-35f495a7cbd8","identifiersha","2025-04-07 08:24:39+00:00"
"016570b97a4711cac679f5066fe135bbc0d3f38f.jsonld","https://obis.org/dataset/dbec528b-7278-49bc-95cd-855025323e6d","identifiersha","2025-04-07 08:28:18+00:00"
"0169c7f7d78ab869c1a5d5c1ab131fedcce37b3a.jsonld","https://obis.org/dataset/63c96b21-947e-4ca9-909c-328dde949e7c","identifiersha","2025-04-07 08:27:22+00:00"
"017d29103d15e7d10dc4283ecea98992e6ea80b8.jsonld","https://obis.org/dataset/a94aa77d-c064-48b6-9101-b2091f074c09","identifiersha","2025-04-07 08:24:46+00:00"
"017ef69fb3b24b945f3d6145a685a394e174461a.jsonld","https://obis.org/dataset/0621bf26-a231-4033-b621-e82ec5bb6187","identifiersha","2025-04-07 08:27:10+00:00"
"0195ecbd1e16f27509a8c34331fbcefe5d76fbec.jsonld","https://obis.org/dataset/e43c0ba8-bd91-4db6-ac2b-17059ec30d94","identifiersha","2025-04-07 08:25:18+00:00"
"01b5090c197c6a26a2094a058b186889aeab1ed9.jsonld","https://obis.org/dataset/9022aeeb-b917-4e43-b002-d708069784a0","identifiersha","2025-04-07 08:26:37+00:00"
"01d67646e12aa100a38d806ddf8da4057457cd25.jsonld","https://obis.org/dataset/5ec42fe0-a902-46e4-b9cb-054c86dc7c8b","identifiersha","2025-04-07 08:22:58+00:00"
"01ec22f7bb924faa03873f72d20e348e980af81f.jsonld","https://obis.org/dataset/22e46a73-06ca-4022-9b7c-933c3f94b94b","identifiersha","2025-04-07 08:26:15+00:00"
"01f3d782d453a7ad2c0f7f6a9c137f5a70624ee2.jsonld","https://obis.org/dataset/09c2ada1-35c1-4fda-8c61-54ffc99730ca","identifiersha","2025-04-07 08:24:10+00:00"
"01f56772d0a5bb27f6f1ad66b04eb669aacd71a8.jsonld","https://obis.org/dataset/85ced676-54ec-449b-8a23-80b926f34b7f","identifiersha","2025-04-07 08:27:46+00:00"
"0214e96f6a7ded9ca2b28e5784e729a410344cef.jsonld","https://obis.org/dataset/76187bd3-740d-4000-b466-b9793e5d7cbb","identifiersha","2025-04-07 08:23:18+00:00"
"022fa89b025c3fee08e0e0408e745cdafe792ea0.jsonld","https://obis.org/dataset/0a0bdf56-fe37-47ec-9cd7-182cc6f21281","identifiersha","2025-04-07 08:25:42+00:00"
"0233d2d20b2877090e0a6458987538b0bd254a3f.jsonld","https://obis.org/dataset/ba32788a-2193-4fe9-b252-01822c3dc924","identifiersha","2025-03-24 00:32:14+00:00"
"023474012710cb8b63b337d3bec01b99d7abc5d3.jsonld","https://obis.org/dataset/b1d6e504-32df-424c-92d6-a7f3495b0dae","identifiersha","2025-04-07 08:26:39+00:00"
"025246ddb709d8bc72f786355c65e696db0be303.jsonld","https://obis.org/dataset/24c11a51-fb48-46a9-a534-6507d54d9a39","identifiersha","2025-04-07 08:24:51+00:00"
"025af71d7ccd6bb3b347cc74114c58b8feac3322.jsonld","https://obis.org/dataset/cce3d3c0-b9fc-4d03-b528-12e75ba4df87","identifiersha","2025-04-07 08:25:47+00:00"
"025f4e6259c9709bb3664ab7e6d637b8c48e4c55.jsonld","https://obis.org/dataset/ab9bfa72-f995-4be7-931d-74ed8812f6f2","identifiersha","2025-04-07 08:24:55+00:00"
"02763c85804d909b987eb7915e49d79961f7d90d.jsonld","https://obis.org/dataset/8bf9c13a-0dcf-4bbf-a7fc-da9d076bc78a","identifiersha","2025-04-07 08:27:19+00:00"
"02830c48df724ec058e7b3caf5b3b3ae3ec5cf4e.jsonld","https://obis.org/dataset/8726cede-98ab-4c06-859d-ce997e8f9717","identifiersha","2025-04-07 08:25:41+00:00"
"028bc708b67d5be36def6206f154bcfe396e1b78.jsonld","https://obis.org/dataset/6e4758cf-07b4-4fbf-bd04-91cdf1c8a1ec","identifiersha","2025-04-07 08:25:27+00:00"
"028cc60a920430b40cf3e2dff1e2b3d595492062.jsonld","https://obis.org/dataset/002eea41-acbf-4d60-ad84-6f4e3c46d9be","identifiersha","2025-04-07 08:22:36+00:00"
"029ba22d5381f09cdfa4544b553d4ae66b5cc217.jsonld","https://obis.org/dataset/364e5a12-8028-4329-be50-fc548c2d6ce4","identifiersha","2025-04-07 08:22:43+00:00"
"02a06b17001a8b87b901d984c17b52a1d23c347d.jsonld","https://obis.org/dataset/16c9c64b-7295-4084-88ce-a26abf4d092f","identifiersha","2025-04-07 08:28:38+00:00"
"02b83ac16537458db5194652cf1a794daf40e46a.jsonld","https://obis.org/dataset/41aea963-7bac-4191-baf8-ef068ac9e13a","identifiersha","2025-04-07 08:26:56+00:00"
